cas_actor1,cas_actor2,cas_actor3,cas_actor4,cas_actor5,cas_actor6,cas_actor7,cas_actor8,cas_actor9,cas_actor10,crew_Director,id
,,,,,,,,,,John Lasseter,862
,,,,,,,,,,Joe Johnston,8844
Walter Matthau,Jack Lemmon,Ann-Margret,Sophia Loren,Daryl Hannah,Burgess Meredith,Kevin Pollak,,,,Howard Deutch,15602
Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines,Dennis Haysbert,Michael Beach,Mykelti Williamson,Lamont Johnson,Wesley Snipes,Forest Whitaker,31357
,,,,,,,,,,Charles Shyer,11862
,,,,,,,,,,Michael Mann,949
,,,,,,,,,,Sydney Pollack,11860
Jonathan Taylor Thomas,Brad Renfro,Rachael Leigh Cook,Michael McShane,Amy Wright,Eric Schweig,Tamara Mello,,,,Peter Hewitt,45325
Jean-Claude Van Damme,Powers Boothe,Dorian Harewood,Raymond J. Barry,Ross Malinger,Whittni Wright,,,,,Peter Hyams,9091
,,,,,,,,,,Martin Campbell,710
,,,,,,,,,,Rob Reiner,9087
,,,,,,,,,,Mel Brooks,12110
,,,,,,,,,,Simon Wells,21032
,,,,,,,,,,Oliver Stone,10858
,,,,,,,,,,Renny Harlin,1408
,,,,,,,,,,Martin Scorsese,524
,,,,,,,,,,Ang Lee,4584
,,,,,,,,,,Quentin Tarantino,5
,,,,,,,,,,Steve Oedekerk,9273
,,,,,,,,,,Joseph Ruben,11517
,,,,,,,,,,Barry Sonnenfeld,8012
,,,,,,,,,,Jon Amiel,1710
,,,,,,,,,,Richard Donner,9691
Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,Jeff Goldblum,Brandon Smith,,,,,,Victor Salva,12665
,,,,,,,,,,Mike Figgis,451
Laurence Fishburne,Irène Jacob,Kenneth Branagh,Nathaniel Parker,Indra Ové,Michael Maloney,Anna Patrick,Nicholas Farrell,Michael Sheen,,Oliver Parker,16420
,,,,,,,,,,Lesli Linka Glatter,9263
,,,,,,,,,,Roger Michell,17015
,,,,,,,,,,Marc Caro,902
Gong Li,Li Bao-Tian,Wang Xiaoxiao,Li Xuejian,Chun Sung,Fu Biao,,,,,Zhang Yimou,37557
,,,,,,,,,,John N. Smith,9909
,,,,,,,,,,Terry Gilliam,63
Craig Sheffer,Elizabeth McGovern,Tom Hulce,Ken Pogue,Ron Sauvé,Val Kilmer,Freddy Andreiuci,,,,Jean-Jacques Annaud,78802
,,,,,,,,,,Chris Noonan,9598
,,,,,,,,,,Christopher Hampton,47018
,,,,,,,,,,Tim Robbins,687
Peter Reznick,John McDonough,Avi Hoffman,Matt Malloy,Abby Lewis,,,,,,Stephen Low,139405
,,,,,,,,,,Andy Tennant,33689
,,,,,,,,,,Amy Heckerling,9603
James Earl Jones,Charles S. Dutton,Jack Robinson,Tsholofelo Wechoemang,Ramalao Makhene,Richard Harris,Dolly Rathebe,Jennifer Steyn,Ian Roberts,David Clatworthy,Darrell James Roodt,34615
,,,,,,,,,,Richard Loncraine,31174
,,,,,,,,,,Allen Hughes,11443
Robert Downey Jr.,Meg Ryan,Sam Neill,David Thewlis,Hugh Grant,Polly Walker,Ian McKellen,Ian McDiarmid,Mary MacLeod,Willie Ross,Michael Hoffman,35196
,,,,,,,,,,Paul W.S. Anderson,9312
,,,,,,,,,,Gus Van Sant,577
,,,,,,,,,,Jocelyn Moorhouse,11861
,,,,,,,,,,David Fincher,807
,,,,,,,,,,Eric Goldberg,10530
Pascale Bussières,Rachael Crawford,Henry Czerny,Don McKellar,,,,,,,Patricia Rozema,8391
,,,,,,,,,,Bryan Singer,629
Cynthia Rothrock,Marshall R. Teague,Daniel McVicar,Lydie Denier,John O'Leary,Art Camacho,Robert Miano,,,,Richard W. Munchkin,117164
,,,,,,,,,,Woody Allen,11448
Enrico Lo Verso,Michele Placido,Piro Milkani,Carmelo Di Mazzarelli,Marjeta Ljarja,,,,,,Gianni Amelio,49133
,,,,,,,,,,Holly Goldberg Sloan,26441
Jennifer Jason Leigh,Mare Winningham,Ted Levine,Max Perlich,John Doe,John C. Reilly,Jimmy Witherspoon,Jason Carter,,,Ulu Grosbard,97406
Johnny Morina,Malcolm McDowell,Maggie Castle,James Rae,Michael Ironside,,,,,,Robert Tinnell,124057
Holly Hunter,Robert Downey Jr.,Anne Bancroft,Charles Durning,Claire Danes,Dylan McDermott,Geraldine Chaplin,Steve Guttenberg,David Strathairn,Cynthia Stevenson,Jodie Foster,9089
,,,,,,,,,,Michael Radford,11010
Lothaire Bluteau,Patrick Goyette,Jean-Louis Millette,Kristin Scott Thomas,Ron Burrage,,,,,,Robert Lepage,99040
Hal Scardino,Litefoot,Lindsay Crouse,Richard Jenkins,Rishi Bhat,Steve Coogan,David Keith,Sakina Jaffrey,Vincent Kartheiser,Nestor Serrano,Frank Oz,11359
,,,,,,,,,,John Schlesinger,17182
,,,,,,,,,,Stephen Herek,2054
,,,,,,,,,,Paris Barclay,10607
,,,,,,,,,,Bill Bennett,19760
,,,,,,,,,,Jason Bloom,9536
,,,,,,,,,,Farhad Mann,11525
Jerry Barone,Al Pacino,Mary Elizabeth Mastrantonio,Joe Grifasi,Geoff Pierson,,,,,,James Foley,40628
Victoria Abril,Josiane Balasko,Alain Chabat,Ticky Holgado,Catherine Hiegel,Katrine Boorman,Telsche Boorman,Véronique Barrault,,,Josiane Balasko,4482
,,,,,,,,,,F. Gary Gray,10634
,,,,,,,,,,Robert Rodriguez,755
,,,,,,,,,,Andrew Sipes,11859
,,,,,,,,,,Noah Baumbach,28387
,,,,,,,,,,Claude Lelouch,48750
,,,,,,,,,,Michael Goldenberg,20927
Rick Moranis,Tom Arnold,Julianne Phillips,Carol Kane,Jeffrey Tambor,Curtis Armstrong,Don Knotts,,,,Steve Miner,36929
Peter Weller,Roy Dupuis,Jennifer Rubin,Andrew Lauer,Liliana Komorowska,Michael Caloz,Jason Cavalier,Ron White,Charles Edwin Powell,,Christian Duguay,9102
Nico,Tina Aumont,Jackson Browne,John Cale,Paul Morrissey,Viva,Ari Boulogne,,,,Susanne Ofteringer,124626
,,,,,,,,,,Sean Penn,27526
,,,,,,,,,,Brian Gibson,9623
Aida Mohammadkhani,Mohsen Kafili,Fereshteh Sadre Orafaiy,Anna Borkowska,Mohammad Shahani,,,,,,Jafar Panahi,46785
,,,,,,,,,,Gary Fleder,400
,,,,,,,,,,Marleen Gorris,880
,,,,,,,,,,Tim Reid,146599
,,,,,,,,,,Henry Jaglom,188588
Mark Rylance,Kristin Scott Thomas,Patsy Kensit,Jeremy Kemp,Douglas Henshall,Annette Badland,Chris Larkin,Anna Massey,,,Philip Haas,8447
,,,,,,,,,,Ridley Scott,10534
,,,,,,,,,,Ken Kwapis,17414
,,,,,,,,,,Penelope Spheeris,13997
,,,,,,,,,,John Badham,2086
Jason Patric,Thandie Newton,Larry Drake,Sam Waterston,Eric Mabius,Sarah-Jane Wylde,,,,,John Duigan,61548
,,,,,,,,,,Stephen Frears,9095
Eddie Murphy,Angela Bassett,Allen Payne,Kadeem Hardison,John Witherspoon,Zakes Mokae,Joanna Cassidy,W. Earl Brown,Simbi Khali,,Wes Craven,12158
,,,,,,,,,,Ted Demme,9283
,,,,,,,,,,John Woo,9208
,,,,,,,,,,Kenneth Branagh,40154
,,,,,,,,,,Mathieu Kassovitz,406
,,,,,,,,,,Paul W.S. Anderson,45549
Nick Broomfield,Heidi Fleiss,Madam Alex,Ivan Nagy,Corinne Bohrer,Ron Jeremy,Daryl Gates,,,,Nick Broomfield,63076
Al Pacino,John Cusack,Bridget Fonda,Danny Aiello,Martin Landau,David Paymer,Richard Schiff,,,,Harold Becker,11062
,,,,,,,,,,Wes Anderson,13685
Ellen DeGeneres,Bill Pullman,Joan Cusack,Dean Stockwell,Joan Plowright,Hope Davis,Ellen Cleghorne,Christine Cattell,Robert Goulet,,Nick Castle,47475
Ray Liotta,Linda Fiorentino,Peter Coyote,Christopher McDonald,David Paymer,Duncan Fraser,Colleen Rennison,Caroline Elliott,Stellina Rusich,,John Dahl,2045
,,,,,,,,,,Dennis Dugan,9614
,,,,,,,,,,Clint Eastwood,688
Maria Schrader,Pierre Sanoussi-Bliss,Michael von Au,Elisabeth Trissenaar,Joachim Król,Ingo Naujoks,,,,,Doris Dörrie,11907
,,,,,,,,,,Brian Henson,10874
,,,,,,,,,,Robert Leacock,89333
Raymond J. Barry,Rustam Branaman,Jennifer MacDonald,Taylor Nichols,David Selby,Paul Williams,April Grace,Biff Yeager,Tom Bresnahan,,James Bruce,96357
,,,,,,,,,,Mel Gibson,197
,,,,,,,,,,Martin Scorsese,103
Jackie Chan,Anita Mui,Françoise Yip,Bill Tung,Marc Akerstream,Garvin Cross,Morgan Lam,Kris Lord,Carrie Cain-Sparks,,Stanley Tong,33542
,,,,,,,,,,Barbet Schroeder,43566
Helena Bonham Carter,Clive Russell,Craig Olejnik,Kate Nelligan,Kenneth Welsh,Andrea Morris,,,,,Mort Ransen,71754
,,,,,,,,,,Étienne Chatiliez,43612
Kenneth Branagh,Glenn Close,,,,,,,,,Jon Blair,51352
,,,,,,,,,,Benjamin Ross,16934
